id,title,system,discipline,stage,location_scope,symptoms,likely_root_causes,field_checks,recommended_actions,rfi_template_question,risk_tags
MEP-001,"Minimum outdoor air not maintained in occupied mode","AHU","Mechanical/Controls","Commissioning","AHU-1 / mechanical penthouse","CO2 trends high; spaces feel stuffy; OA damper command changes but measured OA flow stays low","Min OA setpoint incorrect; OA damper actuator not stroking; OA flow station miscalibrated or installed poorly; conflicting economizer logic; fan airflow estimate wrong","Command OA damper to 0/50/100% and verify physical position; compare OA flow station to spot traverse; verify occupied mode min OA setpoint and units; check economizer enable conditions; confirm supply fan airflow signal source","Correct setpoints and units; repair/rewire actuator; recalibrate or relocate flow station; update economizer logic to respect minimum OA; retest CO2 response","Please confirm the required minimum outdoor air rate for AHU-1 during occupied mode (L/s or CFM) and whether minimum OA must be maintained during economizer operation. Provide the intended sequence if different from current programming.","IAQ; compliance; schedule"
MEP-002,"Outdoor air damper moves opposite of command or saturates early","AHU","Controls","Startup","AHU-2 / roof","Damper indicated 100% but visibly near closed (or vice versa); mixed air temperature not responding as expected","Actuator wired in reverse; stroke limits set incorrectly; linkage slipping; controller output scaled wrong; actuator torque insufficient","Trend command vs feedback; visually confirm damper position at multiple commands; check actuator rotation direction and end switches; inspect linkage and set screws; verify controller output scaling","Correct wiring/polarity; set proper stroke limits; repair linkage; correct scaling; replace actuator if torque insufficient","Please confirm the damper actuator type and required fail position for the OA damper on AHU-2, and whether a calibrated position feedback signal is required by design.","IAQ; energy; schedule"
MEP-003,"Mixed air temperature unstable or hunting during economizer","AHU","Controls","Commissioning","AHU-3 / mechanical room","Mixed air temp oscillates; supply air temp unstable; dampers constantly moving; comfort complaints","PID tuning too aggressive; sensor location causing stratification; low airflow at minimum speed; economizer changeover logic unstable; sensor filtering missing","Review trends for MAT, OAT, RAT, damper position; verify MAT sensor placement and shielding; temporarily fix damper position and observe MAT stability; check minimum fan speed and airflow; check economizer enable/disable thresholds and deadbands","Retune loops and add deadbands; relocate or average MAT sensing; add sensor filtering; adjust minimum fan speed; revise economizer logic for stable changeover","Please confirm the intended economizer changeover strategy (dry-bulb/enthalpy) and required deadbands for AHU-3. Provide the control narrative if available.","comfort; energy; schedule"
MEP-004,"Preheat coil freeze protection trips or is ineffective","AHU","Mechanical/Controls","Commissioning","AHU-1 / intake section","Low-temp alarms; preheat valve fully open but temperature still drops; occasional coil freeze risk; nuisance trips","Freeze stat incorrectly located or wired; valve stuck or undersized; glycol concentration insufficient; OA damper leaking; incorrect sequence during warm-up; sensor scaling errors","Verify freeze stat placement and continuity test; check valve stroke and actuator operation; confirm glycol concentration (if applicable); check OA damper leakage at 0% command; trend entering air temp and valve command during warm-up","Correct freeze stat location/wiring; repair/replace valve/actuator; adjust warm-up sequence; reduce leakage; verify glycol protection and setpoints; retest under cold conditions","Please confirm the required freeze protection strategy for the preheat coil (setpoints; actions; damper position; fan shutdown logic) and the design leaving-air temperature minimum.","safety; equipment; schedule"
MEP-005,"Cooling coil not dehumidifying; humidity remains high","AHU","Mechanical/Controls","Commissioning","AHU-4 / coil section","Space RH stays high; supply air temperature meets setpoint but RH does not; condensate minimal despite humid weather","Chilled water valve not opening fully; CHW supply temperature too warm; airflow too high for latent removal; sensor placement issues; reheat/dehumidification sequence missing","Trend CHW supply/return temps; verify valve stroke and ΔP across valve; measure supply airflow vs design; check RH sensor calibration; verify dehumidification logic (SAT reset limits; coil leaving temp constraints)","Fix valve/actuator; adjust CHW plant setpoints if allowed; reduce airflow or adjust SAT targets within limits; correct sensor calibration; implement dehumidification sequence and reheat coordination","Please confirm the design humidity control requirement (target RH; max RH; design latent conditions) and whether AHU-4 is expected to perform active dehumidification or rely on downstream control.","IAQ; quality; comfort; schedule"
MEP-006,"Supply fan VFD hunting; static pressure unstable","AHU","Controls","Startup","AHU-5 / fan section","Supply duct static pressure swings; VFD speed oscillates; VAVs noisy; occasional high static alarms","Static pressure sensor location poor; PID tuning unstable; minimum speed too low; sensor tubing leaks; pressure setpoint reset logic conflicting","Inspect static pressure pickup location and tubing; check for kinks/leaks; trend static pressure, VFD speed, and setpoint; temporarily fix setpoint and tune loop; verify minimum speed and anti-windup settings","Relocate sensor to representative point; repair tubing; retune PID and add rate limits; adjust minimum fan speed; simplify/sequence setpoint reset logic","Please confirm the intended static pressure control location and reset strategy for AHU-5 (e.g., based on VAV damper position) and any limits on fan speed.","comfort; energy; schedule"
MEP-007,"Filter differential pressure reading incorrect or negative","AHU","Mechanical/Controls","Commissioning","AHU-2 / filter bank","DP shows negative or near zero despite loaded filters; alarms not triggering; maintenance cannot rely on readings","DP tubes reversed; pickup ports clogged; tubing leaks; sensor range wrong; sensor zero not set; static pressure effects at taps","Confirm high/low ports connected correctly; check tubing for leaks and clogs; verify sensor range and wiring; perform zero check with both ports equalized; compare to handheld manometer","Correct tubing and ports; clean/replace taps; calibrate sensor; adjust range; implement reasonable alarm thresholds with delay","Please confirm the required filter alarm thresholds (pre-filter and final filter) and whether DP should be trended for predictive maintenance.","quality; maintenance; schedule"
MEP-008,"Condensate drain overflow or pan alarm during cooling","AHU","Mechanical","Commissioning","AHU-4 / drain pan","Water in unit; overflow switch trips; downstream duct wet; musty odor risk","Trap improperly sized; missing trap primer; drain slope inadequate; negative pressure causing blow-through; drain line blockage","Verify trap geometry and depth vs unit static pressure; check drain line slope and cleanout access; flush drain and confirm flow; check if pan sits level; confirm overflow switch wiring","Correct trap design; add cleanout and proper slope; clear blockage; level pan; verify overflow shutdown interlock and alarms","Please confirm the required condensate trap configuration for AHU-4 given the unit static pressure (provide design static if known) and whether an overflow shutoff is required.","IAQ; quality; equipment; schedule"
MEP-009,"Heat recovery wheel/plate not operating as intended","AHU","Mechanical/Controls","Commissioning","AHU-6 / energy recovery section","Expected preconditioning not observed; wheel speed not changing; cross-leakage suspected; frost alarms in cold weather","Wheel drive fault; bypass damper stuck; controls not enabling; seal leakage; purge sector mis-set; frost control sequence incorrect","Check wheel rotation and speed feedback; verify bypass damper position physically; trend enable signals and interlocks; measure supply/exhaust temps across wheel; inspect seals and purge sector; review frost control logic","Repair drive and sensors; correct bypass actuator; enable proper sequence; adjust purge sector/seals; implement stable frost prevention and defrost logic; retest under cold conditions","Please confirm the intended energy recovery control strategy (wheel speed modulation vs on/off; bypass conditions; frost control) and acceptable cross-leakage limitations for AHU-6.","energy; IAQ; schedule"
MEP-010,"VAV airflow reading inconsistent with measured flow","VAV","TAB/Controls","TAB","VAV-12 / office zone","Flow reading high/low vs hood measurement; box does not meet min/max CFM; comfort complaints","Flow sensor tubing issues; k-factor wrong; controller scaling incorrect; straight duct requirements not met; internal pickup damaged","Inspect tubing connections and orientation; verify k-factor and box size match controller config; compare multiple measurement methods; check for upstream disturbances; check calibration procedure and sensor condition","Correct k-factor/scaling; re-route/repair tubing; follow manufacturer calibration; add straightening or relocate measurement location; retest min/max and tracking","Please confirm the specified VAV box model/size and required min/max airflow setpoints for VAV-12, including any diversity or occupancy-based adjustments.","comfort; IAQ; schedule"
